Course,Tasks,Status
Getting Grounded on Analytics,SME Onboarding,Completed
Getting Grounded on Analytics,Documentary Requirements Completion,Completed
Getting Grounded on Analytics,Video Content Production Shoots,Completed
Getting Grounded on Analytics,Video Content Post-production,Completed
Getting Grounded on Analytics,Beta Testing,Completed
Getting Grounded on Analytics,Launch,Completed
Getting Grounded on Analytics,DAP Acceptance with Clearance,Completed
Essential Excel Skills for Business,SME Onboarding,Completed
Essential Excel Skills for Business,Documentary Requirements Completion,Completed
Essential Excel Skills for Business,Video Content Production Shoots,Completed
Essential Excel Skills for Business,Video Content Post-production,Completed
Essential Excel Skills for Business,Beta Testing,Completed
Essential Excel Skills for Business,Launch,Completed
Essential Excel Skills for Business,DAP Acceptance with Clearance,Completed
SQL for Business Users,SME Onboarding,Delayed
SQL for Business Users,Documentary Requirements Completion,Delayed
SQL for Business Users,Video Content Production Shoots,Delayed
SQL for Business Users,Video Content Post-production,Delayed
SQL for Business Users,Beta Testing,Delayed
SQL for Business Users,Launch,Delayed
SQL for Business Users,DAP Acceptance with Clearance,To be Confirmed
Computing in Python,SME Onboarding,To be Confirmed
Computing in Python,Documentary Requirements Completion,To be Confirmed
Computing in Python,Video Content Production Shoots,To be Confirmed
Computing in Python,Video Content Post-production,To be Confirmed
Computing in Python,Beta Testing,To be Confirmed
Computing in Python,Launch,To be Confirmed
Computing in Python,DAP Acceptance with Clearance,To be Confirmed
Data Visualization Fundamentals,SME Onboarding,Completed
Data Visualization Fundamentals,Documentary Requirements Completion,Completed
Data Visualization Fundamentals,Video Content Production Shoots,Delayed
Data Visualization Fundamentals,Video Content Post-production,Delayed
Data Visualization Fundamentals,Beta Testing,Delayed
Data Visualization Fundamentals,Launch,Delayed
Data Visualization Fundamentals,DAP Acceptance with Clearance,To be Confirmed
SQL for Data Engineering,SME Onboarding,To be Confirmed
SQL for Data Engineering,Documentary Requirements Completion,To be Confirmed
SQL for Data Engineering,Video Content Production Shoots,To be Confirmed
SQL for Data Engineering,Video Content Post-production,To be Confirmed
SQL for Data Engineering,Beta Testing,To be Confirmed
SQL for Data Engineering,Launch,To be Confirmed
SQL for Data Engineering,DAP Acceptance with Clearance,To be Confirmed
Statistical Analysis and Modeling using Excel,SME Onboarding,Completed
Statistical Analysis and Modeling using Excel,Documentary Requirements Completion,Completed
Statistical Analysis and Modeling using Excel,Video Content Production Shoots,Delayed
Statistical Analysis and Modeling using Excel,Video Content Post-production,Delayed
Statistical Analysis and Modeling using Excel,Beta Testing,Delayed
Statistical Analysis and Modeling using Excel,Launch,Delayed
Statistical Analysis and Modeling using Excel,DAP Acceptance with Clearance,To be Confirmed
Data-driven Research Fundamentals,SME Onboarding,Delayed
Data-driven Research Fundamentals,Documentary Requirements Completion,Delayed
Data-driven Research Fundamentals,Video Content Production Shoots,Delayed
Data-driven Research Fundamentals,Video Content Post-production,Delayed
Data-driven Research Fundamentals,Beta Testing,Delayed
Data-driven Research Fundamentals,Launch,Delayed
Data-driven Research Fundamentals,DAP Acceptance with Clearance,To be Confirmed
Data Management Fundamentals,SME Onboarding,Completed
Data Management Fundamentals,Documentary Requirements Completion,Delayed
Data Management Fundamentals,Video Content Production Shoots,Completed
Data Management Fundamentals,Video Content Post-production,Delayed
Data Management Fundamentals,Beta Testing,Delayed
Data Management Fundamentals,Launch,Delayed
Data Management Fundamentals,DAP Acceptance with Clearance,To be Confirmed
Enterprise Data Governance,SME Onboarding,Delayed
Enterprise Data Governance,Documentary Requirements Completion,Delayed
Enterprise Data Governance,Video Content Production Shoots,Delayed
Enterprise Data Governance,Video Content Post-production,Delayed
Enterprise Data Governance,Beta Testing,Delayed
Enterprise Data Governance,Launch,Delayed
Enterprise Data Governance,DAP Acceptance with Clearance,To be Confirmed
Storytelling using Data,SME Onboarding,Delayed
Storytelling using Data,Documentary Requirements Completion,Delayed
Storytelling using Data,Video Content Production Shoots,Delayed
Storytelling using Data,Video Content Post-production,Delayed
Storytelling using Data,Beta Testing,Delayed
Storytelling using Data,Launch,Delayed
Storytelling using Data,DAP Acceptance with Clearance,To be Confirmed
Data Visualization using Python and Tableau,SME Onboarding,Completed
Data Visualization using Python and Tableau,Documentary Requirements Completion,Delayed
Data Visualization using Python and Tableau,Video Content Production Shoots,Delayed
Data Visualization using Python and Tableau,Video Content Post-production,Delayed
Data Visualization using Python and Tableau,Beta Testing,Delayed
Data Visualization using Python and Tableau,Launch,Delayed
Data Visualization using Python and Tableau,DAP Acceptance with Clearance,To be Confirmed
Experimental Design and Analysis,SME Onboarding,Delayed
Experimental Design and Analysis,Documentary Requirements Completion,Delayed
Experimental Design and Analysis,Video Content Production Shoots,Delayed
Experimental Design and Analysis,Video Content Post-production,Delayed
Experimental Design and Analysis,Beta Testing,Delayed
Experimental Design and Analysis,Launch,Delayed
Experimental Design and Analysis,DAP Acceptance with Clearance,To be Confirmed
Python for Data Engineering,SME Onboarding,Completed
Python for Data Engineering,Documentary Requirements Completion,Delayed
Python for Data Engineering,Video Content Production Shoots,Delayed
Python for Data Engineering,Video Content Post-production,Delayed
Python for Data Engineering,Beta Testing,Delayed
Python for Data Engineering,Launch,Delayed
Python for Data Engineering,DAP Acceptance with Clearance,To be Confirmed
Advanced Data Engineering,SME Onboarding,Delayed
Advanced Data Engineering,Documentary Requirements Completion,Delayed
Advanced Data Engineering,Video Content Production Shoots,Delayed
Advanced Data Engineering,Video Content Post-production,Delayed
Advanced Data Engineering,Beta Testing,Delayed
Advanced Data Engineering,Launch,Delayed
Advanced Data Engineering,DAP Acceptance with Clearance,To be Confirmed
Statistical Analysis and Modeling using SQL and Python,SME Onboarding,Delayed
Statistical Analysis and Modeling using SQL and Python,Documentary Requirements Completion,Delayed
Statistical Analysis and Modeling using SQL and Python,Video Content Production Shoots,Delayed
Statistical Analysis and Modeling using SQL and Python,Video Content Post-production,Delayed
Statistical Analysis and Modeling using SQL and Python,Beta Testing,Delayed
Statistical Analysis and Modeling using SQL and Python,Launch,Delayed
Statistical Analysis and Modeling using SQL and Python,DAP Acceptance with Clearance,To be Confirmed
Data Science and Machine Learning using Python,SME Onboarding,Delayed
Data Science and Machine Learning using Python,Documentary Requirements Completion,Delayed
Data Science and Machine Learning using Python,Video Content Production Shoots,Delayed
Data Science and Machine Learning using Python,Video Content Post-production,Delayed
Data Science and Machine Learning using Python,Beta Testing,Delayed
Data Science and Machine Learning using Python,Launch,Delayed
Data Science and Machine Learning using Python,DAP Acceptance with Clearance,To be Confirmed
Deep Learning using Python,SME Onboarding,Delayed
Deep Learning using Python,Documentary Requirements Completion,Delayed
Deep Learning using Python,Video Content Production Shoots,Delayed
Deep Learning using Python,Video Content Post-production,Delayed
Deep Learning using Python,Beta Testing,Delayed
Deep Learning using Python,Launch,Delayed
Deep Learning using Python,DAP Acceptance with Clearance,To be Confirmed
Improving Customer and Employee Experience using Analytics,SME Onboarding,Completed
Improving Customer and Employee Experience using Analytics,Documentary Requirements Completion,Delayed
Improving Customer and Employee Experience using Analytics,Video Content Production Shoots,Delayed
Improving Customer and Employee Experience using Analytics,Video Content Post-production,Delayed
Improving Customer and Employee Experience using Analytics,Beta Testing,Delayed
Improving Customer and Employee Experience using Analytics,Launch,Delayed
Improving Customer and Employee Experience using Analytics,DAP Acceptance with Clearance,To be Confirmed
Data Science and Analytics Project Management,SME Onboarding,Completed
Data Science and Analytics Project Management,Documentary Requirements Completion,Delayed
Data Science and Analytics Project Management,Video Content Production Shoots,Delayed
Data Science and Analytics Project Management,Video Content Post-production,Delayed
Data Science and Analytics Project Management,Beta Testing,Delayed
Data Science and Analytics Project Management,Launch,Delayed
Data Science and Analytics Project Management,DAP Acceptance with Clearance,To be Confirmed
Analytics Applications in Finance and Risk,SME Onboarding,Completed
Analytics Applications in Finance and Risk,Documentary Requirements Completion,Delayed
Analytics Applications in Finance and Risk,Video Content Production Shoots,Delayed
Analytics Applications in Finance and Risk,Video Content Post-production,Delayed
Analytics Applications in Finance and Risk,Beta Testing,Delayed
Analytics Applications in Finance and Risk,Launch,Delayed
Analytics Applications in Finance and Risk,DAP Acceptance with Clearance,To be Confirmed
Data Driven Policy Analysis,SME Onboarding,To be Confirmed
Data Driven Policy Analysis,Documentary Requirements Completion,To be Confirmed
Data Driven Policy Analysis,Video Content Production Shoots,To be Confirmed
Data Driven Policy Analysis,Video Content Post-production,To be Confirmed
Data Driven Policy Analysis,Beta Testing,To be Confirmed
Data Driven Policy Analysis,Launch,To be Confirmed
Data Driven Policy Analysis,DAP Acceptance with Clearance,To be Confirmed
Applied Analytics in Public Human Resource Management,SME Onboarding,To be Confirmed
Applied Analytics in Public Human Resource Management,Documentary Requirements Completion,To be Confirmed
Applied Analytics in Public Human Resource Management,Video Content Production Shoots,To be Confirmed
Applied Analytics in Public Human Resource Management,Video Content Post-production,To be Confirmed
Applied Analytics in Public Human Resource Management,Beta Testing,To be Confirmed
Applied Analytics in Public Human Resource Management,Launch,To be Confirmed
Applied Analytics in Public Human Resource Management,DAP Acceptance with Clearance,To be Confirmed
Applied Analytics in Public Finance and Budgeting,SME Onboarding,To be Confirmed
Applied Analytics in Public Finance and Budgeting,Documentary Requirements Completion,To be Confirmed
Applied Analytics in Public Finance and Budgeting,Video Content Production Shoots,To be Confirmed
Applied Analytics in Public Finance and Budgeting,Video Content Post-production,To be Confirmed
Applied Analytics in Public Finance and Budgeting,Beta Testing,To be Confirmed
Applied Analytics in Public Finance and Budgeting,Launch,To be Confirmed
Applied Analytics in Public Finance and Budgeting,DAP Acceptance with Clearance,To be Confirmed
Data Engineering in E-governance Systems,SME Onboarding,To be Confirmed
Data Engineering in E-governance Systems,Documentary Requirements Completion,To be Confirmed
Data Engineering in E-governance Systems,Video Content Production Shoots,To be Confirmed
Data Engineering in E-governance Systems,Video Content Post-production,To be Confirmed
Data Engineering in E-governance Systems,Beta Testing,To be Confirmed
Data Engineering in E-governance Systems,Launch,To be Confirmed
Data Engineering in E-governance Systems,DAP Acceptance with Clearance,To be Confirmed
Smart City and E-governance,SME Onboarding,To be Confirmed
Smart City and E-governance,Documentary Requirements Completion,To be Confirmed
Smart City and E-governance,Video Content Production Shoots,To be Confirmed
Smart City and E-governance,Video Content Post-production,To be Confirmed
Smart City and E-governance,Beta Testing,To be Confirmed
Smart City and E-governance,Launch,To be Confirmed
Smart City and E-governance,DAP Acceptance with Clearance,To be Confirmed
Urban Planning in the Fourth Industrial  Revolution,SME Onboarding,To be Confirmed
Urban Planning in the Fourth Industrial  Revolution,Documentary Requirements Completion,To be Confirmed
Urban Planning in the Fourth Industrial  Revolution,Video Content Production Shoots,To be Confirmed
Urban Planning in the Fourth Industrial  Revolution,Video Content Post-production,To be Confirmed
Urban Planning in the Fourth Industrial  Revolution,Beta Testing,To be Confirmed
Urban Planning in the Fourth Industrial  Revolution,Launch,To be Confirmed
Urban Planning in the Fourth Industrial  Revolution,DAP Acceptance with Clearance,To be Confirmed
Designing and Building Data Products,SME Onboarding,To be Confirmed
Designing and Building Data Products,Documentary Requirements Completion,To be Confirmed
Designing and Building Data Products,Video Content Production Shoots,To be Confirmed
Designing and Building Data Products,Video Content Post-production,To be Confirmed
Designing and Building Data Products,Beta Testing,To be Confirmed
Designing and Building Data Products,Launch,To be Confirmed
Designing and Building Data Products,DAP Acceptance with Clearance,To be Confirmed
Essential Excel Skills for Data Preparation and Analysis,SME Onboarding,To be Confirmed
Essential Excel Skills for Data Preparation and Analysis,Documentary Requirements Completion,To be Confirmed
Essential Excel Skills for Data Preparation and Analysis,Video Content Production Shoots,To be Confirmed
Essential Excel Skills for Data Preparation and Analysis,Video Content Post-production,To be Confirmed
Essential Excel Skills for Data Preparation and Analysis,Beta Testing,To be Confirmed
Essential Excel Skills for Data Preparation and Analysis,DAP Acceptance with Clearance,To be Confirmed
Dashboards and Drill-down Analytics,SME Onboarding,Completed
Dashboards and Drill-down Analytics,Documentary Requirements Completion,Completed
Dashboards and Drill-down Analytics,Video Content Production Shoots,Completed
Dashboards and Drill-down Analytics,Video Content Post-production,Completed
Dashboards and Drill-down Analytics,Beta Testing,Completed
Dashboards and Drill-down Analytics,Launch,Completed
Dashboards and Drill-down Analytics,DAP Acceptance with Clearance,Completed
Analytics Applications in Operations,SME Onboarding,To be Confirmed
Analytics Applications in Operations,Documentary Requirements Completion,To be Confirmed
Analytics Applications in Operations,Video Content Production Shoots,To be Confirmed
Analytics Applications in Operations,Video Content Post-production,To be Confirmed
Analytics Applications in Operations,Beta Testing,To be Confirmed
Analytics Applications in Operations,Launch,To be Confirmed
Analytics Applications in Operations,DAP Acceptance with Clearance,To be Confirmed
